City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-19 22:00:19,clear sky,-23.1203,-134.9692,74.1,76,2,9.22
1,Kapaa,US,2022-07-19 21:57:32,broken clouds,22.0752,-159.319,84.18,72,64,7.0
2,Tuktoyaktuk,CA,2022-07-19 22:00:20,overcast clouds,69.4541,-133.0374,45.23,92,100,10.58
3,Nouadhibou,MR,2022-07-19 22:00:21,scattered clouds,20.931,-17.0347,67.3,95,26,16.53
4,Busselton,AU,2022-07-19 21:57:31,light rain,-33.65,115.3333,59.59,81,100,12.39
5,Deputatskiy,RU,2022-07-19 22:00:21,overcast clouds,69.3,139.9,33.01,99,100,4.16
6,Luderitz,NA,2022-07-19 21:59:41,clear sky,-26.6481,15.1594,57.52,67,1,17.96
7,Castro,BR,2022-07-19 22:00:22,clear sky,-24.7911,-50.0119,61.57,85,2,0.47
8,Anchorage,US,2022-07-19 22:00:00,moderate rain,61.2181,-149.9003,53.94,93,100,8.99
9,Tiarei,PF,2022-07-19 22:00:23,clear sky,-17.5333,-149.3333,76.46,67,4,2.64
10,Bluff,NZ,2022-07-19 22:00:24,overcast clouds,-46.6,168.3333,41.81,71,91,12.41
11,Hammerfest,NO,2022-07-19 22:00:24,broken clouds,70.6634,23.6821,49.82,94,77,3.11
12,Hobart,AU,2022-07-19 22:00:20,few clouds,-42.8794,147.3294,37.06,92,20,8.05
13,Atuona,PF,2022-07-19 22:00:25,clear sky,-9.8,-139.0333,78.67,63,6,12.17
14,Tiznit,MA,2022-07-19 22:00:25,overcast clouds,29.5833,-9.5,87.71,30,86,0.51
15,Fort Nelson,CA,2022-07-19 22:00:24,broken clouds,58.8053,-122.7002,69.1,36,80,15.35
16,Quatre Cocos,MU,2022-07-19 22:00:26,light rain,-20.2078,57.7625,66.09,60,52,23.24
17,Mataura,NZ,2022-07-19 22:00:27,overcast clouds,-46.1927,168.8643,41.49,79,93,3.89
18,Jamestown,US,2022-07-19 21:57:27,few clouds,42.097,-79.2353,86.95,61,21,3.0
19,Bethel,US,2022-07-19 22:00:28,scattered clouds,41.3712,-73.414,92.34,55,37,1.01
20,Rio Gallegos,AR,2022-07-19 22:00:29,overcast clouds,-51.6226,-69.2181,39.27,57,92,39.91
21,San Cristobal,VE,2022-07-19 22:00:29,light rain,7.7669,-72.225,73.0,76,61,5.61
22,Manggar,ID,2022-07-19 21:56:20,scattered clouds,-2.8833,108.2667,80.24,85,50,11.23
23,East London,ZA,2022-07-19 22:00:30,few clouds,-33.0153,27.9116,64.65,79,17,14.43
24,Butaritari,KI,2022-07-19 21:57:31,light rain,3.0707,172.7902,82.15,76,74,15.73
