City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-07-19 18:13:52,-23.1203,-134.9692,74.01,71,1,10.02
1,Nenjiang,CN,2022-07-19 18:13:53,49.1833,125.2167,64.67,92,50,4.03
2,Bud,US,2022-07-19 18:13:53,39.447,-86.1758,88.83,66,2,2.51
3,Pacific Grove,US,2022-07-19 18:10:01,36.6177,-121.9166,71.82,89,75,10.36
4,Norman Wells,CA,2022-07-19 18:13:54,65.282,-126.8329,58.3,72,100,12.24
5,Arraial Do Cabo,BR,2022-07-19 18:13:54,-22.9661,-42.0278,76.86,69,0,11.5
6,Hobart,AU,2022-07-19 18:13:55,-42.8794,147.3294,40.86,89,40,3.44
7,Kapaa,US,2022-07-19 18:13:55,22.0752,-159.319,79.12,77,40,14.97
8,Rocha,UY,2022-07-19 18:13:55,-34.4833,-54.3333,55.99,54,1,6.89
9,Rio Gallegos,AR,2022-07-19 18:13:27,-51.6226,-69.2181,44.65,61,0,29.93
10,Kavaratti,IN,2022-07-19 18:13:56,10.5669,72.642,81.16,81,100,21.83
11,Albany,US,2022-07-19 18:12:48,42.6001,-73.9662,89.78,47,9,1.99
12,Vaini,TO,2022-07-19 18:13:57,-21.2,-175.2,73.56,94,75,10.36
13,Cancun,MX,2022-07-19 18:10:07,21.1743,-86.8466,89.53,66,75,8.05
14,Katsuura,JP,2022-07-19 18:13:57,35.1333,140.3,79.34,87,82,17.92
15,Mount Isa,AU,2022-07-19 18:13:58,-20.7333,139.5,56.97,47,0,11.5
16,Hamilton,US,2022-07-19 18:13:58,39.1834,-84.5333,90.64,61,20,9.22
17,Belmonte,BR,2022-07-19 18:13:59,-15.8631,-38.8828,76.68,72,23,10.45
18,Dikson,RU,2022-07-19 18:13:59,73.5069,80.5464,45.0,82,92,14.32
19,Vao,NC,2022-07-19 18:13:59,-22.6667,167.4833,73.54,88,95,17.09
20,Namibe,AO,2022-07-19 18:14:00,-15.1961,12.1522,62.33,87,43,4.36
21,Pringsewu,ID,2022-07-19 18:14:00,-5.3582,104.9744,73.38,97,9,0.78
22,Huanta,PE,2022-07-19 18:14:01,-12.9333,-74.25,70.2,31,96,4.47
23,Victoria,HK,2022-07-19 18:09:06,22.2855,114.1577,87.33,78,99,5.99
